iter	Passed	Remaining
437	2331	330
438	2336	324
439	2342	319
440	2348	314
441	2353	308
442	2358	303
443	2363	298
444	2368	292
445	2372	287
446	2379	282
447	2385	276
448	2390	271
449	2396	266
450	2402	261
451	2409	255
452	2414	250
453	2419	245
454	2425	239
455	2432	234
456	2438	229
457	2443	224
458	2448	218
459	2454	213
460	2460	208
461	2466	202
462	2471	197
463	2477	192
464	2483	186
465	2488	181
466	2493	176
467	2498	170
468	2504	165
469	2511	160
470	2516	154
471	2521	149
472	2528	144
473	2536	139
474	2543	133
475	2548	128
476	2555	123
477	2560	117
478	2565	112
479	2570	107
480	2577	101
481	2583	96
482	2587	91
483	2594	85
484	2599	80
485	2605	75
486	2611	69
487	2616	64
488	2621	58
489	2627	53
490	2632	48
491	2638	42
492	2644	37
493	2651	32
494	2657	26
495	2663	21
496	2669	16
497	2675	10
498	2679	5
499	2684	0
