iter	Logloss
407	0.2666507143
408	0.2666388706
409	0.2666266662
410	0.2665935511
411	0.2665548518
412	0.2665393725
413	0.2664612523
414	0.2663684392
415	0.2663567384
416	0.2663156083
417	0.2663095348
418	0.2662704949
419	0.266245161
420	0.2662389798
421	0.2662283703
422	0.2661738207
423	0.2661709186
424	0.2661611346
425	0.266107797
426	0.2660828278
427	0.2660787628
428	0.266030906
429	0.2659773382
430	0.2659389383
431	0.2659196235
432	0.265886276
433	0.2658704295
434	0.265832055
435	0.2657836667
436	0.2657591524
437	0.2657579764
438	0.2657480653
439	0.2657218034
440	0.2656505903
441	0.2656497034
442	0.2656321415
443	0.2655731547
444	0.2655645951
445	0.2655519297
446	0.2655229231
447	0.2655115472
448	0.2654547718
449	0.2654265934
450	0.2653882243
451	0.2653674874
452	0.2653217696
453	0.265296564
454	0.2652533995
455	0.2652339702
456	0.2652191548
457	0.2652095025
458	0.2651687478
459	0.2651646785
460	0.2651443289
461	0.2651386102
462	0.2651309337
463	0.2651285792
464	0.2651258122
465	0.2651098323
466	0.2650732742
467	0.265044502
468	0.2650400722
469	0.2650065587
470	0.2650023305
471	0.264970356
472	0.2649426999
473	0.2648909832
474	0.2648633036
475	0.2648403901
476	0.2648089081
477	0.264800499
478	0.2647852193
479	0.2647437781
480	0.2647242552
481	0.2647058494
482	0.2646826313
483	0.2646647123
484	0.2646556235
485	0.264623549
486	0.2645684283
487	0.2645328344
488	0.2645259215
489	0.2645206057
490	0.2645043248
491	0.2644973358
492	0.2644784415
493	0.2644740071
494	0.2644678329
495	0.2644489975
496	0.2644450504
497	0.2644192726
498	0.2644152992
499	0.2643997302
