iter	Logloss
0	0.6606173593
1	0.635055653
2	0.6089671459
3	0.5836861307
4	0.5646109574
5	0.5463031724
6	0.5277832929
7	0.5143635573
8	0.5008924496
9	0.4857256091
10	0.4736152374
11	0.4630021123
12	0.4528049333
13	0.4424245308
14	0.4330085739
15	0.4253672905
16	0.4163969923
17	0.4086663012
18	0.4016339107
19	0.3950174071
20	0.3881580538
21	0.3824871882
22	0.3775924056
23	0.3729390157
24	0.3685950083
25	0.3654515442
26	0.3615717405
27	0.3571086978
28	0.3537731349
29	0.3514621085
30	0.3484863277
31	0.3454059763
32	0.3424362578
33	0.3390079264
34	0.3366361647
35	0.3338606813
36	0.3314508293
37	0.3293999513
38	0.3272743236
39	0.3255081159
40	0.3236908431
41	0.3221243972
42	0.3205705902
43	0.3193227028
44	0.3178705097
45	0.3165065564
46	0.3150935236
47	0.313289986
48	0.3120660092
49	0.3107700871
50	0.3093296065
51	0.3082303629
52	0.3070999384
53	0.3063394287
54	0.3053626473
55	0.3044774633
56	0.3032533394
57	0.3021223392
58	0.3012901667
59	0.3004714904
60	0.2997480523
61	0.2990506302
62	0.2984148204
63	0.2977393347
64	0.2971176649
65	0.2964973783
66	0.2958084849
67	0.2953038512
68	0.2947215418
69	0.2939452295
70	0.2930276956
71	0.2925766727
72	0.2921587117
73	0.2915631935
74	0.2911877501
75	0.2907377089
76	0.2902753867
77	0.2899281151
78	0.2894251903
79	0.2891507436
80	0.2889873973
81	0.2886608405
82	0.2881810903
83	0.2876932468
84	0.2874528596
85	0.2870358935
86	0.2866865131
87	0.2864510177
88	0.2860373048
89	0.2858480608
90	0.2856422898
91	0.2853517683
92	0.285122648
93	0.2849454765
94	0.2845877698
95	0.2844186627
96	0.2840827875
97	0.2838879723
98	0.2836219425
99	0.283377703
100	0.2832404117
101	0.2830769449
102	0.2827965672
103	0.2826708524
104	0.2824261677
105	0.2823039591
106	0.2819543887
107	0.2816397999
108	0.2815015443
109	0.2814546598
110	0.2812469965
111	0.2810691813
112	0.2809715194
113	0.2808924914
114	0.2806833068
115	0.2805999067
116	0.2805374048
117	0.2803649497
118	0.2801113632
119	0.2798869143
120	0.2796593405
121	0.2795302142
122	0.2794569465
123	0.2792901724
124	0.2792020332
125	0.2789786446
126	0.2788633461
127	0.2786456624
128	0.2785670947
129	0.2784919097
130	0.2784520262
131	0.2783552463
132	0.2781786769
133	0.2781246247
134	0.2780834837
135	0.2779993057
136	0.2777287001
137	0.2777057454
138	0.2776077742
139	0.2774198736
140	0.2773069319
141	0.2771884738
142	0.2770935231
143	0.2770005359
144	0.2768746404
145	0.2768128599
146	0.2767378171
147	0.2765776109
148	0.2765097097
149	0.2764813716
150	0.276350815
151	0.2763067232
152	0.2762201462
153	0.2760551383
154	0.2759157103
155	0.2758619295
156	0.2757996331
157	0.2757996205
158	0.2757577198
159	0.2756672357
160	0.2756401561
161	0.2755967538
162	0.2755436068
163	0.2754876958
164	0.2754279233
165	0.2753795938
166	0.2753391858
167	0.2753057393
168	0.2751825185
169	0.2750332209
170	0.274978557
171	0.2749244717
172	0.2749043722
173	0.2748398841
174	0.2747828628
175	0.2747049164
176	0.2746824119
177	0.2746664562
178	0.2746389225
179	0.2745240754
180	0.2744383546
181	0.2743949576
182	0.2743728402
183	0.2743597258
184	0.2742248419
185	0.2741563447
186	0.2740450127
187	0.2740450124
188	0.2739414763
189	0.2738882892
190	0.2738564792
191	0.2738220437
192	0.2736988237
193	0.2736790651
194	0.2736004768
195	0.2735272584
196	0.273467978
197	0.2734563966
198	0.2734563944
199	0.2734050937
200	0.273293744
201	0.2732920338
202	0.2732903783
203	0.2732802168
204	0.2732193026
205	0.2731896215
206	0.2731419865
207	0.2731138605
208	0.2730783804
209	0.2729402818
210	0.2728824735
211	0.272849299
212	0.2728003447
213	0.2727677078
214	0.2727147155
215	0.2727131402
216	0.2726569655
217	0.2726007231
218	0.2725697219
219	0.2725285159
220	0.2724668545
221	0.2724668541
222	0.2724213171
223	0.2723767208
224	0.2723568058
225	0.2722798514
226	0.2722325351
227	0.2721501647
228	0.2721356172
229	0.2720794474
230	0.272050985
231	0.2719950251
232	0.2719433865
233	0.2718850252
234	0.271843452
235	0.2718272197
236	0.2718095889
237	0.2716915481
238	0.2716277128
239	0.2715890361
240	0.2715153982
241	0.2714625694
242	0.2713903641
243	0.2713801991
244	0.2713635223
245	0.2713511576
246	0.271332925
247	0.2713161047
248	0.2712899131
249	0.2712890475
250	0.2712389085
251	0.2712078168
252	0.2711080175
253	0.2710327771
254	0.2709738772
255	0.2709442662
256	0.2709406064
257	0.2709405839
258	0.2709157338
259	0.2709044346
260	0.270813631
261	0.2707905536
262	0.2707727127
263	0.2707727057
264	0.2707714132
265	0.2707004972
266	0.270658578
267	0.2705904692
268	0.2705773019
269	0.2705772903
270	0.2705381156
271	0.2705364145
272	0.2704732119
273	0.2704559908
274	0.2704434154
275	0.2704162066
276	0.2703670042
277	0.2703329296
278	0.2703104764
279	0.2702761385
280	0.2702721754
281	0.2701892789
282	0.2701892754
283	0.2701440584
284	0.2701225742
285	0.2701178012
286	0.2700769721
287	0.2700177893
288	0.2700036188
289	0.2699981094
290	0.2699031372
291	0.2698735245
292	0.2698262635
293	0.2698007241
294	0.2697706459
295	0.2697562144
296	0.2697147041
297	0.2696633341
298	0.2696097417
299	0.2695373999
300	0.2695366473
301	0.2695065316
302	0.2694904047
303	0.2694759605
304	0.2694509952
305	0.2693760891
306	0.269323625
307	0.2693035024
308	0.2692081171
309	0.2692027692
310	0.2691813161
311	0.2691583082
312	0.2691440272
313	0.2691440154
314	0.2690775238
315	0.2690765518
316	0.269053205
317	0.2690187615
318	0.2689555632
319	0.2689186643
320	0.2688942041
321	0.2688940964
322	0.2688641557
323	0.2688312069
324	0.2688312037
325	0.2687760538
326	0.2687554303
327	0.2687554198
328	0.2686269936
329	0.2686211701
330	0.2686185454
331	0.2685994796
332	0.2685994676
333	0.2685580299
334	0.2685580183
335	0.2685569119
336	0.2685319141
337	0.2685319129
338	0.2684361342
339	0.268432821
340	0.2684140952
341	0.2684056048
342	0.2683924856
343	0.2683421771
344	0.2683333567
345	0.2683197284
346	0.2683100054
347	0.2682596982
348	0.2682274712
349	0.2681975418
350	0.2681677872
351	0.2681298856
352	0.2681121537
353	0.2680824403
354	0.2679948399
355	0.2679736226
356	0.2679241035
357	0.2678787751
358	0.2678519297
359	0.267811679
360	0.267811668
361	0.2677824147
362	0.2677774196
363	0.2677557228
364	0.2677455176
365	0.2677207756
366	0.2677004122
367	0.2677004075
368	0.2677004001
369	0.2676923882
370	0.2676806922
371	0.2676464681
372	0.2676016041
373	0.2675783822
374	0.2675644443
375	0.2675140095
376	0.2674869889
377	0.2674326451
378	0.267424951
379	0.2674118034
380	0.2674118004
381	0.2673784883
382	0.267363641
383	0.2673636386
384	0.2672824296
385	0.2672173777
386	0.2671807269
387	0.2671694686
388	0.2671440986
389	0.267127931
390	0.2670919837
391	0.2670779772
392	0.2670509202
393	0.2670322786
394	0.2670186403
395	0.2670140942
396	0.2669794438
397	0.2669557212
398	0.2669506622
399	0.266941502
400	0.2669401549
401	0.2669361843
402	0.2668915153
403	0.2668450978
404	0.2667824336
405	0.2666980879
406	0.2666599509
